experiment,fold_label,n_test,test_borda,oracle,cpsat_baseline,accuracy,inner_cv_score,fit_seconds,best_params
SVM-RBF/power,2018,90,57.566127133267074,63.23556268932011,56.76675090065444,0.8444444444444444,0.6001894118530195,99.42159748077393,"{""C"": 2.18889723044631, ""gamma"": 0.2264700336426211, ""class_weight"": null}"
SVM-RBF/power,2019,89,55.36594644226195,62.528114675166705,53.68709459764611,0.7752808988764045,0.5998395982156607,102.84531116485596,"{""C"": 16.811691881471962, ""gamma"": 0.15604263562582976, ""class_weight"": ""balanced""}"
SVM-RBF/power,2020,94,54.02992899751113,61.60641204711305,49.62408215816311,0.776595744680851,0.6036535620497323,105.64963746070862,"{""C"": 16.440916565746612, ""gamma"": 0.03575446690615822, ""class_weight"": null}"
SVM-RBF/power,2021,91,52.76885504277008,64.91235187306762,52.690987240595135,0.7802197802197802,0.6058012894784619,92.70068216323853,"{""C"": 8.53074010952156, ""gamma"": 0.06504106079928902, ""class_weight"": null}"
SVM-RBF/power,2022,92,53.86350328340751,66.40072708234466,54.275380541480686,0.6956521739130435,0.6089479825417029,59.29188656806946,"{""C"": 14.07423418254951, ""gamma"": 0.04740549118581889, ""class_weight"": null}"
SVM-RBF/power,2023,90,51.0148503193588,63.33144559857347,51.967456022152945,0.6777777777777778,0.6066907153345833,83.5128722190857,"{""C"": 12.348535350917063, ""gamma"": 0.0515086765142559, ""class_weight"": null}"
SVM-RBF/power,2024,84,52.477613063991306,61.514870262974675,49.34045550057922,0.75,0.5982732382929858,77.2698266506195,"{""C"": 2.0519414768482367, ""gamma"": 0.17414184759825255, ""class_weight"": null}"
SVM-RBF/power,2025,77,42.50413137275663,59.0246616000226,37.11278670593358,0.6363636363636364,0.6023253010468815,69.89926385879517,"{""C"": 46.44497668359135, ""gamma"": 0.7559415539953456, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2011,100,62.868213612454646,66.59337066371282,54.94205904206017,0.84,0.6011494306792775,24.318754196166992,"{""C"": 1.407627280979961, ""gamma"": 0.01446649200853802, ""class_weight"": null}"
SVM-RBF/log_std,2012,100,55.34380761716774,66.58671597450157,54.50189823459618,0.8,0.6035452933323407,29.17795181274414,"{""C"": 25.332536935850946, ""gamma"": 0.001538292568788926, ""class_weight"": null}"
SVM-RBF/log_std,2013,96,59.755083336924216,68.86924626030311,51.489262248403776,0.8333333333333334,0.6033556832515724,14.585877656936646,"{""C"": 47.4095647711937, ""gamma"": 0.0024206576500490078, ""class_weight"": null}"
SVM-RBF/log_std,2014,98,60.28667369851081,67.56570461498421,63.81705734616651,0.826530612244898,0.5955019273670945,33.919005155563354,"{""C"": 52.679032859787675, ""gamma"": 0.4526390841463948, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2015,91,54.61456441357912,65.52510745661893,51.768805222471634,0.7582417582417582,0.5983417073269847,31.360027551651,"{""C"": 6.341810683363688, ""gamma"": 0.9410142957452738, ""class_weight"": null}"
SVM-RBF/log_std,2016,95,57.90860127854429,61.63289378370745,55.98267855075409,0.7684210526315789,0.603132196224281,28.57469367980957,"{""C"": 1.5260023949410002, ""gamma"": 0.045639233640265425, ""class_weight"": null}"
SVM-RBF/log_std,2017,92,53.20820343764636,67.2822326415988,50.90809450050229,0.7608695652173914,0.6040780624689379,30.439777851104736,"{""C"": 24.377198495055282, ""gamma"": 0.8322110196086446, ""class_weight"": ""balanced""}"
SVM-RBF/log_std,2018,90,56.89654241354435,63.23556268932011,56.76675090065444,0.8333333333333334,0.6009602791943464,25.92050790786743,"{""C"": 2.7256967461002497, ""gamma"": 0.04691542841941551, ""class_weight"": null}"
SVM-RBF/log_std,2019,89,52.53773475023788,62.528114675166705,53.68709459764611,0.7191011235955056,0.5998370694613442,18.556257009506226,"{""C"": 1.127271087564398, ""gamma"": 0.01349750797439661, ""class_weight"": null}"
SVM-RBF/log_std,2020,94,55.66202711583352,61.60641204711305,49.62408215816311,0.8191489361702128,0.6132879008798269,25.91179132461548,"{""C"": 55.70655359529635, ""gamma"": 0.0010864484831992435, ""class_weight"": null}"
SVM-RBF/log_std,2021,91,49.3280736512482,64.91235187306762,52.690987240595135,0.7362637362637363,0.607913137988471,16.78585433959961,"{""C"": 2.2225269816023068, ""gamma"": 0.03287091013073112, ""class_weight"": null}"
SVM-RBF/log_std,2022,92,53.81450989427512,66.40072708234466,54.275380541480686,0.6956521739130435,0.6085858678619621,25.945536613464355,"{""C"": 4.581821503602596, ""gamma"": 0.06219989905301245, ""class_weight"": null}"
SVM-RBF/log_std,2023,90,52.69833935332988,63.33144559857347,51.967456022152945,0.7111111111111111,0.6053848692479779,31.72786808013916,"{""C"": 12.379591277125487, ""gamma"": 0.061042750503358445, ""class_weight"": null}"
SVM-RBF/log_std,2024,84,51.80623940691437,61.514870262974675,49.34045550057922,0.7380952380952381,0.5991625530405568,28.404860496520996,"{""C"": 2.3940011651530138, ""gamma"": 0.02480888000150738, ""class_weight"": null}"
SVM-RBF/log_std,2025,77,41.92187139357547,59.0246616000226,37.11278670593358,0.5974025974025974,0.6035346643160385,17.537822723388672,"{""C"": 73.71957920727829, ""gamma"": 0.08758305423251106, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2011,100,61.8650583001626,66.59337066371282,54.94205904206017,0.84,0.5960645073344087,55.811506271362305,"{""C"": 1.0487508073471663, ""gamma"": 0.008150679283762332, ""class_weight"": null}"
SVM-RBF/log_quantile,2012,100,55.34380761716774,66.58671597450157,54.50189823459618,0.8,0.6017790755100173,74.63699316978455,"{""C"": 2.4608527423097293, ""gamma"": 0.009466387193714966, ""class_weight"": null}"
SVM-RBF/log_quantile,2013,96,59.52365522881284,68.86924626030311,51.489262248403776,0.8125,0.5986947712930609,85.35676455497742,"{""C"": 23.87765367597977, ""gamma"": 0.0010257378226270725, ""class_weight"": null}"
SVM-RBF/log_quantile,2014,98,61.28667369851081,67.56570461498421,63.81705734616651,0.8367346938775511,0.5964015255361069,94.1799213886261,"{""C"": 60.83747294250296, ""gamma"": 0.2273714603202845, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2015,91,54.949324182970436,65.52510745661893,51.768805222471634,0.7252747252747253,0.5974493887380871,66.02504301071167,"{""C"": 44.5111561726805, ""gamma"": 0.69843687196252, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2016,95,58.05429238337061,61.63289378370745,55.98267855075409,0.7894736842105263,0.599682526051627,68.02239775657654,"{""C"": 83.93289207873504, ""gamma"": 0.2175304729325574, ""class_weight"": null}"
SVM-RBF/log_quantile,2017,92,53.76121274015881,67.2822326415988,50.90809450050229,0.75,0.6026986287920753,104.1387574672699,"{""C"": 18.26886463917795, ""gamma"": 0.6324039690392311, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2018,90,54.78255624779873,63.23556268932011,56.76675090065444,0.7444444444444445,0.5982437351494826,105.92021346092224,"{""C"": 43.996303334410605, ""gamma"": 0.5067177589784747, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2019,89,55.81441653349908,62.528114675166705,53.68709459764611,0.797752808988764,0.5981567150473195,85.6342511177063,"{""C"": 52.642616824258546, ""gamma"": 0.21088076746876494, ""class_weight"": ""balanced""}"
SVM-RBF/log_quantile,2020,94,54.602920634661054,61.60641204711305,49.62408215816311,0.776595744680851,0.6011104936543277,97.01454162597656,"{""C"": 31.48206741057589, ""gamma"": 0.0892481094712299, ""class_weight"": null}"
